Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%),Date de lancement
Créa Motion/Vidéo AG1 Travel Packs - Camille,AG1 Travel Packs,Camille Rousseau,Motion/Vidéo,Testimonial,Parfait pour voyager,Juillet 2025,Arrêtée,2816.25,17,2647.27,0.94,165.66,130158,5050,3.88,2025-07-19
Créa Motion/Vidéo Vitamine D3+K2 - Marie,Vitamine D3+K2,Marie Dubois,Motion/Vidéo,Convenience,Ne manquez jamais votre dose,Septembre 2025,En ligne,1375.32,53,2379.30,1.73,25.95,187822,5466,2.91,2025-09-26
Créa Témoignage Omega-3 - Marie,Omega-3,Marie Dubois,Témoignage,Convenience,Boostez votre immunité,Octobre 2025,En ligne,1492.94,120,2508.14,1.68,12.44,274480,6505,2.37,2025-10-16
Créa Podcast Abonnement - Dr.,Abonnement,Dr. Robert White,Podcast,Convenience,Essentiel en hiver,Novembre 2025,Arrêtée,1388.63,92,2207.92,1.59,15.09,228424,8429,3.69,2025-11-10
Créa UGC Vitamine D3+K2 - Kevin,Vitamine D3+K2,Kevin Taylor,UGC,Convenience,Le meilleur rapport qualité-prix,Novembre 2025,En pause,2375.62,41,3278.36,1.38,57.94,103685,3805,3.67,2025-11-16
Créa UGC AG1 Travel Packs - Marie,AG1 Travel Packs,Marie Dubois,UGC,Santé,Boostez votre immunité,Novembre 2025,Archivée,2923.14,93,4735.49,1.62,31.43,296197,9389,3.17,2025-11-11
Créa Témoignage Shaker - Sophie,Shaker,Sophie Martin,Témoignage,Testimonial,Boostez votre immunité,Octobre 2025,En ligne,2119.97,76,7038.30,3.32,27.89,116422,4377,3.76,2025-10-23
Créa Podcast AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. Michael Lee,Podcast,Accessoire,Mon expérience avec Omega-3,Août 2025,Arrêtée,511.91,67,1131.32,2.21,7.64,119466,2796,2.34,2025-08-14
Créa Image statique Bundle Complet - Anna,Bundle Complet,Anna Schmidt,Image statique,Convenience,Pourquoi les nutritionnistes recommandent AG1,Juillet 2025,En pause,635.94,61,1411.79,2.22,10.43,153163,3354,2.19,2025-07-08
Créa UGC Omega-3 - Paul,Omega-3,Paul Martinez,UGC,Santé,Le shaker qui change tout,Octobre 2025,En ligne,2901.00,113,4380.51,1.51,25.67,299838,8186,2.73,2025-10-03
Créa Podcast Abonnement - Paul,Abonnement,Paul Martinez,Podcast,Éducation,N'oubliez plus jamais,Août 2025,Arrêtée,2764.40,68,8846.08,3.20,40.65,213574,8458,3.96,2025-08-06
Créa UGC AG1 Travel Packs - Julie,AG1 Travel Packs,Julie Bernard,UGC,Santé,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En ligne,2472.45,19,2793.87,1.13,130.13,224553,8780,3.91,2025-08-20
Créa Témoignage AG1 Powder - Sarah,AG1 Powder,Sarah Martin,Témoignage,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,Archivée,2387.56,56,7520.81,3.15,42.64,125783,3220,2.56,2025-09-01
Créa UGC Abonnement - Pierre,Abonnement,Pierre Moreau,UGC,Éducation,Essentiel en hiver,Septembre 2025,En ligne,1206.63,57,2340.86,1.94,21.17,295309,7294,2.47,2025-09-10
Créa Témoignage AG1 Powder - Paul,AG1 Powder,Paul Martinez,Témoignage,Éducation,N'oubliez plus jamais,Septembre 2025,En ligne,2570.42,124,7788.37,3.03,20.73,261066,9686,3.71,2025-09-05
Créa Podcast AG1 Powder - Julie,AG1 Powder,Julie Bernard,Podcast,Santé,Le meilleur rapport qualité-prix,Novembre 2025,En pause,529.50,29,1482.60,2.80,18.26,122399,3856,3.15,2025-11-06
Créa Image statique AG1 Travel Packs - Lisa,AG1 Travel Packs,Lisa Garcia,Image statique,Convenience,Mon expérience avec Omega-3,Juillet 2025,Archivée,1293.66,130,2199.22,1.70,9.95,60237,1976,3.28,2025-07-21
Créa Témoignage Omega-3 - Sarah,Omega-3,Sarah Martin,Témoignage,Éducation,Le shaker qui change tout,Août 2025,Archivée,1656.80,141,1756.21,1.06,11.75,274396,9083,3.31,2025-08-09
Créa Podcast AG1 Travel Packs - Emma,AG1 Travel Packs,Emma Wilson,Podcast,Éducation,Pourquoi les nutritionnistes recommandent AG1,Août 2025,Archivée,2030.25,103,4771.09,2.35,19.71,129742,5164,3.98,2025-08-21
Créa Podcast Omega-3 - Sarah,Omega-3,Sarah Martin,Podcast,Accessoire,Mon expérience avec Omega-3,Juillet 2025,En pause,2153.17,70,5835.09,2.71,30.76,183535,3964,2.16,2025-07-09
Créa Image statique AG1 Travel Packs - Pierre,AG1 Travel Packs,Pierre Moreau,Image statique,Testimonial,Parfait pour voyager,Août 2025,En ligne,881.41,49,484.78,0.55,17.99,285536,8538,2.99,2025-08-28
Créa UGC AG1 Powder - Sophie,AG1 Powder,Sophie Martin,UGC,Testimonial,Le meilleur rapport qualité-prix,Septembre 2025,Archivée,1929.32,92,3318.43,1.72,20.97,256065,8143,3.18,2025-09-09
Créa Image statique Abonnement - Dr.,Abonnement,Dr. Robert White,Image statique,Santé,Je bois AG1 depuis 3 mois,Septembre 2025,En ligne,2772.64,56,3105.36,1.12,49.51,235812,9197,3.90,2025-09-22
Créa Témoignage Shaker - Sarah,Shaker,Sarah Martin,Témoignage,Éducation,Essentiel en hiver,Août 2025,En ligne,1881.95,43,5758.77,3.06,43.77,162689,3774,2.32,2025-08-23
Créa Motion/Vidéo Omega-3 - Laura,Omega-3,Laura Davis,Motion/Vidéo,Valeur,Parfait pour voyager,Juillet 2025,Arrêtée,2419.79,37,5275.14,2.18,65.40,274781,5633,2.05,2025-07-04
Créa Image statique AG1 Travel Packs - Julie,AG1 Travel Packs,Julie Bernard,Image statique,Éducation,Le meilleur rapport qualité-prix,Octobre 2025,En ligne,776.88,104,1786.82,2.30,7.47,208659,5989,2.87,2025-10-10
Créa Motion/Vidéo Abonnement - Julie,Abonnement,Julie Bernard,Motion/Vidéo,Accessoire,Essentiel en hiver,Septembre 2025,En pause,1511.03,118,4548.20,3.01,12.81,216062,7389,3.42,2025-09-14
Créa UGC AG1 Travel Packs - Marie,AG1 Travel Packs,Marie Dubois,UGC,Testimonial,Le shaker qui change tout,Juillet 2025,En ligne,2460.73,127,3125.13,1.27,19.38,184865,5380,2.91,2025-07-05
Créa Motion/Vidéo Vitamine D3+K2 - Sophie,Vitamine D3+K2,Sophie Martin,Motion/Vidéo,Testimonial,Mon cœur me remercie,Juillet 2025,Arrêtée,2832.90,31,9376.90,3.31,91.38,54468,1476,2.71,2025-07-16
Créa Podcast AG1 Travel Packs - Camille,AG1 Travel Packs,Camille Rousseau,Podcast,Éducation,Je bois AG1 depuis 3 mois,Septembre 2025,En ligne,518.99,127,1095.07,2.11,4.09,246133,8344,3.39,2025-09-13
Créa Image statique AG1 Powder - Marie,AG1 Powder,Marie Dubois,Image statique,Éducation,Le shaker qui change tout,Septembre 2025,En pause,2411.91,59,1374.79,0.57,40.88,78761,2064,2.62,2025-09-07
Créa Image statique Vitamine D3+K2 - Alex,Vitamine D3+K2,Alex Johnson,Image statique,Valeur,Parfait pour voyager,Septembre 2025,Archivée,1529.34,44,2905.75,1.90,34.76,249346,5685,2.28,2025-09-08
Créa Témoignage Vitamine D3+K2 - Sophie,Vitamine D3+K2,Sophie Martin,Témoignage,Santé,Essentiel en hiver,Novembre 2025,En pause,2102.14,22,6684.81,3.18,95.55,299686,7103,2.37,2025-11-15
Créa Témoignage Omega-3 - Tom,Omega-3,Tom Brown,Témoignage,Santé,N'oubliez plus jamais,Août 2025,Arrêtée,2738.80,39,7531.70,2.75,70.23,227809,5969,2.62,2025-08-24
Créa Témoignage AG1 Powder - Sophie,AG1 Powder,Sophie Martin,Témoignage,Éducation,Économisez avec le bundle,Septembre 2025,Arrêtée,645.17,92,1400.02,2.17,7.01,246699,7475,3.03,2025-09-21
Créa Podcast Omega-3 - Lisa,Omega-3,Lisa Garcia,Podcast,Testimonial,Boostez votre immunité,Juillet 2025,En ligne,2953.71,60,10190.30,3.45,49.23,76027,3018,3.97,2025-07-01
Créa Témoignage Bundle Complet - David,Bundle Complet,David Chen,Témoignage,Testimonial,Le meilleur rapport qualité-prix,Septembre 2025,En ligne,1519.50,124,4269.80,2.81,12.25,292549,9011,3.08,2025-09-02
Créa Image statique AG1 Powder - David,AG1 Powder,David Chen,Image statique,Santé,Mon expérience avec Omega-3,Novembre 2025,Archivée,2174.34,44,2435.26,1.12,49.42,142382,2962,2.08,2025-11-10
Créa Podcast Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. Robert White,Podcast,Éducation,L'importance d'un bon mélange,Juillet 2025,Archivée,2086.37,129,1377.00,0.66,16.17,126584,4899,3.87,2025-07-28
Créa Podcast Bundle Complet - Marie,Bundle Complet,Marie Dubois,Podcast,Accessoire,Économisez avec le bundle,Juillet 2025,En ligne,680.89,64,1293.69,1.90,10.64,260200,10382,3.99,2025-07-14
Créa Témoignage AG1 Travel Packs - Claire,AG1 Travel Packs,Claire Anderson,Témoignage,Testimonial,Ne manquez jamais votre dose,Octobre 2025,Arrêtée,1443.47,29,1284.69,0.89,49.77,69115,1970,2.85,2025-10-22
Créa Témoignage AG1 Powder - Sarah,AG1 Powder,Sarah Martin,Témoignage,Testimonial,Essentiel en hiver,Novembre 2025,En pause,986.61,33,3028.89,3.07,29.90,266579,5678,2.13,2025-11-10
Créa UGC Shaker - Alex,Shaker,Alex Johnson,UGC,Testimonial,Essentiel en hiver,Août 2025,Arrêtée,1488.86,142,982.65,0.66,10.48,254107,7928,3.12,2025-08-21
Créa Motion/Vidéo Bundle Complet - Marie,Bundle Complet,Marie Dubois,Motion/Vidéo,Éducation,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,Archivée,2108.31,127,5376.19,2.55,16.60,148856,5314,3.57,2025-09-05
Créa Podcast Bundle Complet - Sophie,Bundle Complet,Sophie Martin,Podcast,Santé,Le shaker qui change tout,Juillet 2025,Arrêtée,2990.88,81,1555.26,0.52,36.92,76485,2830,3.70,2025-07-14
Créa UGC Omega-3 - Claire,Omega-3,Claire Anderson,UGC,Accessoire,Ne manquez jamais votre dose,Octobre 2025,Archivée,2800.09,105,5992.19,2.14,26.67,277672,9802,3.53,2025-10-17
Créa Motion/Vidéo Abonnement - Julie,Abonnement,Julie Bernard,Motion/Vidéo,Éducation,Parfait pour voyager,Septembre 2025,Archivée,1766.93,118,3321.83,1.88,14.97,200814,6687,3.33,2025-09-23
Créa Témoignage Bundle Complet - Paul,Bundle Complet,Paul Martinez,Témoignage,Convenience,L'importance d'un bon mélange,Novembre 2025,En pause,2808.22,105,9744.52,3.47,26.74,206769,4880,2.36,2025-11-22
Créa UGC Vitamine D3+K2 - Marc,Vitamine D3+K2,Marc Petit,UGC,Accessoire,Le shaker qui change tout,Novembre 2025,Arrêtée,2979.12,70,2800.37,0.94,42.56,193120,7068,3.66,2025-11-12
Créa UGC Vitamine D3+K2 - Julie,Vitamine D3+K2,Julie Bernard,UGC,Éducation,Pourquoi les nutritionnistes recommandent AG1,Août 2025,Arrêtée,907.88,72,780.78,0.86,12.61,143919,5325,3.70,2025-08-12
Créa Témoignage AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Témoignage,Valeur,Parfait pour voyager,Septembre 2025,Archivée,2745.27,125,2525.65,0.92,21.96,260493,9899,3.80,2025-09-02
Créa Témoignage Omega-3 - Emma,Omega-3,Emma Wilson,Témoignage,Testimonial,Mon cœur me remercie,Août 2025,En pause,2419.90,124,3557.25,1.47,19.52,243323,6813,2.80,2025-08-18
Créa Témoignage Bundle Complet - Alex,Bundle Complet,Alex Johnson,Témoignage,Santé,Le meilleur rapport qualité-prix,Septembre 2025,En ligne,706.78,116,1915.37,2.71,6.09,244584,6457,2.64,2025-09-22
Créa Motion/Vidéo Abonnement - Julie,Abonnement,Julie Bernard,Motion/Vidéo,Convenience,Je bois AG1 depuis 3 mois,Juillet 2025,Arrêtée,1263.01,66,4268.97,3.38,19.14,143414,2940,2.05,2025-07-27
Créa UGC Omega-3 - Julie,Omega-3,Julie Bernard,UGC,Éducation,Emportez AG1 partout,Octobre 2025,En pause,1484.43,87,2018.82,1.36,17.06,78910,2912,3.69,2025-10-21
Créa Image statique Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,Image statique,Accessoire,Essentiel en hiver,Septembre 2025,En ligne,2883.25,82,7236.96,2.51,35.16,296399,9307,3.14,2025-09-18
Créa Image statique AG1 Powder - Dr.,AG1 Powder,Dr. Robert White,Image statique,Valeur,Parfait pour voyager,Novembre 2025,En ligne,891.11,26,3083.24,3.46,34.27,92227,3431,3.72,2025-11-05
Créa Podcast Bundle Complet - Emma,Bundle Complet,Emma Wilson,Podcast,Valeur,Parfait pour voyager,Juillet 2025,Arrêtée,1966.25,78,4561.70,2.32,25.21,218370,7381,3.38,2025-07-03
Créa Podcast Vitamine D3+K2 - Anna,Vitamine D3+K2,Anna Schmidt,Podcast,Valeur,Essentiel en hiver,Novembre 2025,En pause,2029.64,40,4850.84,2.39,50.74,196164,4669,2.38,2025-11-28
Créa UGC AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. Michael Lee,UGC,Valeur,Le meilleur rapport qualité-prix,Septembre 2025,Arrêtée,1533.96,41,1840.75,1.20,37.41,151298,3056,2.02,2025-09-17
Créa Image statique Omega-3 - Kevin,Omega-3,Kevin Taylor,Image statique,Testimonial,Emportez AG1 partout,Juillet 2025,En ligne,513.22,40,343.86,0.67,12.83,130788,3191,2.44,2025-07-12
Créa Podcast AG1 Travel Packs - Claire,AG1 Travel Packs,Claire Anderson,Podcast,Éducation,Boostez votre immunité,Novembre 2025,En pause,2177.50,107,2308.15,1.06,20.35,95649,2238,2.34,2025-11-09
Créa Podcast Omega-3 - Dr.,Omega-3,Dr. James Smith,Podcast,Convenience,Économisez avec le bundle,Août 2025,En pause,674.68,123,620.71,0.92,5.49,198578,4170,2.10,2025-08-04
Créa Podcast Shaker - Julie,Shaker,Julie Bernard,Podcast,Santé,Mon expérience avec Omega-3,Août 2025,Archivée,2881.57,70,5936.03,2.06,41.17,78166,1798,2.30,2025-08-26
Créa UGC Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,UGC,Convenience,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En ligne,1485.12,82,4455.36,3.00,18.11,62617,1434,2.29,2025-08-10
Créa Motion/Vidéo Bundle Complet - Camille,Bundle Complet,Camille Rousseau,Motion/Vidéo,Testimonial,Le shaker qui change tout,Juillet 2025,En ligne,1365.54,51,1966.38,1.44,26.78,168840,4525,2.68,2025-07-02
Créa UGC AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. James Smith,UGC,Éducation,Ne manquez jamais votre dose,Juillet 2025,En ligne,1083.31,58,2242.45,2.07,18.68,99054,3417,3.45,2025-07-28
Créa Témoignage Vitamine D3+K2 - Alex,Vitamine D3+K2,Alex Johnson,Témoignage,Convenience,N'oubliez plus jamais,Août 2025,Arrêtée,2012.74,65,6943.95,3.45,30.97,285273,5734,2.01,2025-08-18
Créa Motion/Vidéo Bundle Complet - Dr.,Bundle Complet,Dr. Michael Lee,Motion/Vidéo,Convenience,Économisez avec le bundle,Septembre 2025,Archivée,1223.53,128,1602.82,1.31,9.56,73311,2639,3.60,2025-09-19
Créa Témoignage Vitamine D3+K2 - Julie,Vitamine D3+K2,Julie Bernard,Témoignage,Santé,Ma transformation en 2 mois,Novembre 2025,En ligne,1674.06,18,2862.64,1.71,93.00,275208,6412,2.33,2025-11-22
Créa Podcast Abonnement - Paul,Abonnement,Paul Martinez,Podcast,Convenience,Mon cœur me remercie,Octobre 2025,En pause,2433.48,43,1508.76,0.62,56.59,298289,10351,3.47,2025-10-26
Créa UGC Abonnement - Kevin,Abonnement,Kevin Taylor,UGC,Santé,Boostez votre immunité,Septembre 2025,En pause,868.11,83,2300.49,2.65,10.46,240359,5913,2.46,2025-09-01
Créa Image statique Shaker - Sophie,Shaker,Sophie Martin,Image statique,Santé,Le meilleur rapport qualité-prix,Septembre 2025,Archivée,2823.31,71,1439.89,0.51,39.76,208261,7268,3.49,2025-09-21
Créa Image statique Abonnement - Marc,Abonnement,Marc Petit,Image statique,Convenience,Ma transformation en 2 mois,Août 2025,En pause,2500.80,42,3926.26,1.57,59.54,113861,4156,3.65,2025-08-10
Créa Motion/Vidéo Shaker - Kevin,Shaker,Kevin Taylor,Motion/Vidéo,Valeur,Le shaker qui change tout,Novembre 2025,Archivée,534.76,115,272.73,0.51,4.65,156635,3806,2.43,2025-11-08
Créa UGC Omega-3 - Dr.,Omega-3,Dr. Michael Lee,UGC,Valeur,Boostez votre immunité,Septembre 2025,Arrêtée,1344.34,52,4140.57,3.08,25.85,196224,5612,2.86,2025-09-12
Créa Motion/Vidéo Omega-3 - Paul,Omega-3,Paul Martinez,Motion/Vidéo,Éducation,Ne manquez jamais votre dose,Août 2025,Archivée,2202.43,86,1299.43,0.59,25.61,189497,4870,2.57,2025-08-20
Créa Témoignage AG1 Powder - Julie,AG1 Powder,Julie Bernard,Témoignage,Éducation,Boostez votre immunité,Octobre 2025,En ligne,2530.21,142,6527.94,2.58,17.82,157065,3864,2.46,2025-10-20
Créa UGC Bundle Complet - David,Bundle Complet,David Chen,UGC,Éducation,Économisez avec le bundle,Juillet 2025,Arrêtée,1757.25,59,3321.20,1.89,29.78,206308,7778,3.77,2025-07-13
Créa Podcast Abonnement - David,Abonnement,David Chen,Podcast,Testimonial,Mon expérience avec Omega-3,Novembre 2025,Archivée,2504.32,94,1978.41,0.79,26.64,163793,6208,3.79,2025-11-20
Créa Motion/Vidéo Bundle Complet - Emma,Bundle Complet,Emma Wilson,Motion/Vidéo,Testimonial,Parfait pour voyager,Novembre 2025,En ligne,1853.05,133,5688.86,3.07,13.93,266433,5435,2.04,2025-11-27
Créa UGC Bundle Complet - Marie,Bundle Complet,Marie Dubois,UGC,Valeur,Boostez votre immunité,Juillet 2025,En pause,773.04,127,2040.83,2.64,6.09,297849,7625,2.56,2025-07-27
Créa UGC Vitamine D3+K2 - Sophie,Vitamine D3+K2,Sophie Martin,UGC,Santé,Emportez AG1 partout,Novembre 2025,Archivée,2870.56,145,4564.19,1.59,19.80,80084,3099,3.87,2025-11-28
Créa Motion/Vidéo Bundle Complet - Alex,Bundle Complet,Alex Johnson,Motion/Vidéo,Éducation,Ne manquez jamais votre dose,Juillet 2025,Arrêtée,1237.92,116,953.20,0.77,10.67,78292,2615,3.34,2025-07-13
Créa Motion/Vidéo Bundle Complet - Marie,Bundle Complet,Marie Dubois,Motion/Vidéo,Convenience,L'importance d'un bon mélange,Novembre 2025,Arrêtée,1765.94,26,2631.25,1.49,67.92,182743,7145,3.91,2025-11-07
Créa Témoignage AG1 Travel Packs - Paul,AG1 Travel Packs,Paul Martinez,Témoignage,Accessoire,Économisez avec le bundle,Août 2025,Arrêtée,1983.50,43,3728.98,1.88,46.13,255419,9680,3.79,2025-08-27
Créa Témoignage AG1 Powder - Marc,AG1 Powder,Marc Petit,Témoignage,Éducation,Ma transformation en 2 mois,Août 2025,En pause,1587.01,134,4078.62,2.57,11.84,172175,6525,3.79,2025-08-17
Créa UGC Abonnement - Laura,Abonnement,Laura Davis,UGC,Valeur,Ma transformation en 2 mois,Août 2025,Archivée,1942.42,148,6565.38,3.38,13.12,249515,5764,2.31,2025-08-05
Créa UGC Abonnement - Dr.,Abonnement,Dr. Robert White,UGC,Convenience,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En pause,548.98,68,1883.00,3.43,8.07,165498,5826,3.52,2025-08-02
Créa Podcast Omega-3 - Kevin,Omega-3,Kevin Taylor,Podcast,Testimonial,Mon cœur me remercie,Novembre 2025,En pause,1575.24,136,5182.54,3.29,11.58,264367,10178,3.85,2025-11-27
Créa Image statique Vitamine D3+K2 - Anna,Vitamine D3+K2,Anna Schmidt,Image statique,Valeur,Je bois AG1 depuis 3 mois,Septembre 2025,Arrêtée,2462.20,148,2880.77,1.17,16.64,147392,3478,2.36,2025-09-14
Créa Motion/Vidéo AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. Michael Lee,Motion/Vidéo,Éducation,Parfait pour voyager,Novembre 2025,En ligne,1158.60,139,811.02,0.70,8.34,274004,9152,3.34,2025-11-16
Créa Témoignage AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,Témoignage,Convenience,Boostez votre immunité,Juillet 2025,En ligne,1810.52,129,1176.84,0.65,14.04,221592,6448,2.91,2025-07-02
